"sentence","subject_name","predicate","object_name"
Identification of phenanthroindolizines and phenanthroquinolizidines as novel potent anti-coronaviral agents for porcine enteropathogenic coronavirus transmissible gastroenteritis virus and human severe acute respiratory syndrome coronavirus.,Anti-Anxiety Agents,TREATS,Transmissible gastroenteritis virus
Identification of phenanthroindolizines and phenanthroquinolizidines as novel potent anti-coronaviral agents for porcine enteropathogenic coronavirus transmissible gastroenteritis virus and human severe acute respiratory syndrome coronavirus.,Anti-Anxiety Agents,TREATS,SARS coronavirus
Antiviral drugs targeting CoV infections are lacking.,Antiviral Agents,TREATS,Coronavirus Infections
"Importantly, this hDPP4-expressing transgenic mouse model will be applicable for studying the pathogenesis of MERS-CoV infection and investigating the efficacy of vaccines and antiviral agents designed to combat MERS-CoV infection.",Antiviral Agents,TREATS,Coronavirus Infections
Mutational analysis in a replicon system showed that the N7-MTase activity was important for SARS virus replication/transcription and can thus be used as an attractive drug target to develop antivirals for control of coronaviruses including the deadly SARS virus.,Antiviral Agents,TREATS,Genus: Coronavirus
The results of this study provide support for further research to develop broad-spectrum antiviral agents for multiple coronavirus infections.,Antiviral Agents,TREATS,Coronavirus Infections
"The spread of severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV) into human populations demonstrates the zoonotic potential of emerging coronaviruses, and there are currently no vaccines or effective antivirals for human coronaviruses.",Antiviral Agents,TREATS,Human coronavirus
There is currently an urgent need to identify effective antiviral agents that will prevent and treat severe acute respiratory syndrome coronavirus (SARS-CoV) infection.,Antiviral Agents,TREATS,SARS coronavirus
Two coronaviruses causing severe respiratory disease and high mortality rates emerging within the past dozen years reinforces the need for clinically efficacious antivirals targeting coronaviruses.,Antiviral Agents,TREATS,Genus: Coronavirus
This is a case report of use of lopinavir/ritonavir-based combination antiviral therapy for a patient with MERS-CoV infection.,Antiviral Therapy,USES,Lopinavir+ritonavir
Monospecific antisera were prepared in mice to human coronavirus OC43 and neonatal calf diarrhoea coronavirus (NCDCV) which had been previously adapted to growth in suckling mouse brain.,Brain,PART_OF,House mice
"These 5 isolates exhibited typical properties of HRCV; distinctive morphology, resistant to BUDR, chloroform sensitivity, and electron microscopic features of growth in L132 cells.",Bromodeoxyuridine,NEG_TREATS,Human coronavirus
"In cells inoculated with EBNV, cytoplasmic immunofluorescence was found using antisera for human coronaviruses OC43 and 229E as well as the porcine transmissible gastroenteric virus and avian (chicken) bronchitis virus.",Chickens,ISA,Aves
"INTERPRETATION: In patients with severe MERS-CoV infection, ribavirin and interferon alfa-2a therapy is associated with significantly improved survival at 14 days, but not at 28 days.",Coronavirus Infections,PROCESS_OF,Patients
This is a case report of use of lopinavir/ritonavir-based combination antiviral therapy for a patient with MERS-CoV infection.,Coronavirus Infections,PROCESS_OF,Patients
"Vaccinates and controls (n = 5) were orally inoculated with virulent CCV virus and treated with dexamethasone on days 0, 2, 4, and 6 after virus challenge.","Coronavirus, Canine",ISA,Virus
"Previously, in vitro studies have shown that cyclosporin (CsA) and FK506 inhibit virus replication in diverse coronaviruses.",Cyclosporine,TREATS,Genus: Coronavirus
"In cells inoculated with EBNV, cytoplasmic immunofluorescence was found using antisera for human coronaviruses OC43 and 229E as well as the porcine transmissible gastroenteric virus and avian (chicken) bronchitis virus.",Cytoplasmic,LOCATION_OF,Immunofluorescence
Altered pathogenesis of porcine respiratory coronavirus in pigs due to immunosuppressive effects of dexamethasone: implications for corticosteroid use in treatment of severe acute respiratory syndrome coronavirus.,Dexamethasone,TREATS,SARS coronavirus
"Vaccinates and controls (n = 5) were orally inoculated with virulent CCV virus and treated with dexamethasone on days 0, 2, 4, and 6 after virus challenge.",Dexamethasone,TREATS,"Coronavirus, Canine"
"Vaccinates and controls (n = 5) were orally inoculated with virulent CCV virus and treated with dexamethasone on days 0, 2, 4, and 6 after virus challenge.",Dexamethasone,TREATS,Virus
